Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Luke Kornet,C,26,MIL,1,0,3.0,0.0,1.0,0.0,0.0,0.0,0.3291231732776618,0.0,1.0,0.0,0.0,0.0,0.0,0.7598213552361397,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2133278.0
Luke Kornet,C,26,BOS,12,0,7.1,1.0,1.8,0.571,0.0,0.3,0.0,1.0,1.4,0.706,0.571,0.2,0.3,0.667,0.8,1.3,2.1,0.7,0.3,0.2,0.0,0.6,2.2,2133278.0
Vit Krejci,SG,21,OKC,30,8,23.0,2.3,5.6,0.407,1.1,3.3,0.327,1.2,2.3,0.522,0.503,0.6,0.7,0.864,0.6,2.8,3.4,1.9,0.6,0.3,1.0,2.2,6.2,1563518.0
Jonathan Kuminga,SF,19,GSW,70,12,16.9,3.4,6.6,0.513,0.7,2.1,0.336,2.7,4.4,0.598,0.567,1.9,2.7,0.684,0.8,2.6,3.3,0.9,0.4,0.3,1.1,2.1,9.3,5739840.0
Kyle Kuzma,PF,26,WAS,66,66,33.4,6.4,14.2,0.452,1.9,5.7,0.341,4.5,8.5,0.526,0.52,2.4,3.3,0.712,1.1,7.4,8.5,3.5,0.6,0.9,2.6,1.9,17.1,13000000.0
Jock Landale,C,26,SAS,54,1,10.9,1.9,3.8,0.495,0.5,1.6,0.326,1.3,2.1,0.626,0.566,0.6,0.8,0.829,1.2,1.4,2.6,0.8,0.2,0.3,0.6,1.0,4.9,1563518.0
Romeo Langford,SG,22,TOT,48,5,16.1,1.7,4.0,0.435,0.6,1.8,0.341,1.1,2.2,0.509,0.51,0.5,0.9,0.548,0.6,1.6,2.3,0.4,0.5,0.3,0.3,1.0,4.5,5634257.0
Romeo Langford,SG,22,BOS,44,5,16.5,1.8,4.2,0.429,0.7,1.9,0.349,1.1,2.3,0.495,0.508,0.5,0.8,0.588,0.7,1.7,2.4,0.4,0.5,0.4,0.4,1.0,4.7,5634257.0
Romeo Langford,SG,22,SAS,4,0,10.8,1.0,1.8,0.571,0.0,0.5,0.0,1.0,1.3,0.8,0.571,0.8,2.0,0.375,0.0,1.0,1.0,0.5,0.3,0.0,0.0,0.3,2.8,5634257.0
Zach LaVine,SG,26,CHI,67,67,34.7,8.4,17.7,0.476,2.8,7.1,0.389,5.7,10.6,0.534,0.554,4.8,5.6,0.853,0.3,4.3,4.6,4.5,0.6,0.3,2.6,1.8,24.4,37096500.0
Damion Lee,SG,29,GSW,63,5,19.9,2.7,6.1,0.441,1.0,3.0,0.337,1.7,3.1,0.541,0.523,1.0,1.2,0.88,0.4,2.8,3.2,1.0,0.6,0.1,0.6,1.5,7.4,1836090.0
Saben Lee,PG,22,DET,37,0,16.3,1.9,4.8,0.39,0.4,1.6,0.233,1.5,3.2,0.47,0.429,1.5,1.9,0.789,0.5,1.9,2.4,2.9,1.0,0.3,1.0,1.2,5.6,1752638.0
Alex Len,C,28,SAC,39,10,15.9,2.4,4.5,0.534,0.2,0.5,0.286,2.3,4.0,0.568,0.551,1.1,1.6,0.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6.0,3918600.0
Caris LeVert,SG,27,TOT,58,49,30.7,6.5,14.7,0.444,1.4,4.4,0.32,5.1,10.3,0.497,0.492,2.5,3.3,0.756,0.7,2.9,3.7,4.3,0.9,0.4,1.9,2.3,17.0,18796296.0
Caris LeVert,SG,27,IND,39,39,31.1,7.1,15.9,0.447,1.6,4.8,0.323,5.6,11.1,0.501,0.496,2.8,3.7,0.76,0.8,3.1,3.8,4.4,0.9,0.5,1.9,2.3,18.7,18796296.0
